NVDA
WYNN
NDSN
ICLR
LAMR
REG
TEM
GLPI
MTSI
HTHT
EXAS
LECO
HST
GH
AKAM
ASND
IONS
BBIO
GLXY
VTRS
RVMD
COKE
JKHY
PAA
STRL
BILI
RMBS
RGLD
MDGL
AGNC
SAIL
TXRH
RGTI
EXEL
HAS
CELH
MANH
ENSG
MKSI
SWKS
PSKY
SEIC
PEGA
XP
BMRN
ONBPP
ONBPO
CART
ALGN
MNDY
MRNA
DOX
IDCC
FYBR
DRS
TSEM
POOL
TPGXL
DUOL
BZ
CPB
SANM
APPF
AAL
NVMI
RNA
TECH
GGAL
MORN
LYFT
PPC
OTEX
TTAN
WTFC
MTSR
FRHC
LSCC
MMYT
APLD
AAON
AMKR
SFD
NTSK
APA
SITM
TTEK
HSIC
FIVE
AUR
DBX
UMBF
ONB
AEIS
ABVX
CIFR
TIGO
HQY
COLB
RGEN
HALO
VFS
JAZZ
QRVO
CFLT
IESC
LINE
ACGLO
LLYVK
NICE
LKQ
MTCH
CORT
BPOP
FIGR
PCTY
ZION
MASI
SFM
CIGI
LLYVA
OLLI
WIX
CHYM
SOLS
SAIA
CYTK
HLNE
SIRI
LBRDK
DSGX
LBRDA
CAI
CBSH
MRUS
STEP
RGTIW
FCFS
LIF
FROG
AXSM
WAY
FSV
TTMI
SRAD
BOKF
CHDN
NUVL
GTLB
PNFP
RYTM
WING
CGNX
GDS
LNW
ACGLN
RGC
CGABL
GSAT
RIOT
EXLS
CORZZ
CORZ
MKTX
ROAD
MIDD
SMTC
VLY
GLBE
RRR
BRKR
CRUS
LFUS
RDNT
MARA
BTSG
OLED
LEGN
MAT
GRFS
NXST
SOUN
PTCT
KRYS
URBN
IRTC
CVLT
LCID
CWST
OS
WULF
ACT
PCVX
SLM
CAMT
ALKS
ARWR
ATAT
QLYS
UFPI
IEP
EOSE
WFRD
REYN
MMSI
UBSI
GNTX
TGTX
ACIW
CAR
OMAB
OZK
CRSP
ACLX
CHRD
ALGM
PONY
BCPC
PTGX
PI
HWC
CCC
OSIS
OPEN
ITRI
HUT
VSAT
MZTI
SIGI
SBRA
NAVN
DOOO
CACC
SNEX
LOPE
STNE
CVCO
FFIN
LAUR
LSTR
SHC
MRCY
BULL
POWL
BLLN
PECO
OPCH
BGC
CLSK
BTDR
AKRO
REGCP
CALM
OXLCP
DHCNL
CORZW
SAIC
FELE
OXLCZ
KYMR
ABTC
OXLCN
PRAX
REGCO
IBOC
OXLCL
NAMS
INTR
VKTX
SLAB
DORM
ENLT
CROX
VCTR
OXLCO
TMDX
IMVT
FORM
CZR
DHCNI
SSRM
WGS
VRNS
GLNG
NWE
CIFRW
VIAV
LGND
TCBI
ENPH
SKYW
RUN
RUSHB
INDV
VICR
CRVL
DLO
TFSL
PLXS
AVT
AMBA
ACAD
RUSHA
FLNC
BHF
NOVT
CRNX
NTRSO
UPST
EBC
IPGP
GBDC
COMM
CLBT
BANF
VSEC
LBTYK
BLTE
VRRM
FTDR
DJT
MYRG
MLCO
LGN
LBTYA
PSMT
AMRX
EXPO
FULTP
OTTR
LBRDP
AGYS
PATK
MIRM
INDB
LNTH
LBTYB
PAGP
ICUI
ADMA
DGNX
PLMR
GTX
FIBK
WSC
XMTR
BL
USLM
CARG
TENB
VCYT
GTM
ALHC
APGE
CATY
TLX
VEON
FULT
PCTTU
PCH
BWIN
SIMO
DAVE
KC
CELC
ZIONP
FRSH
ARLP
PTON
INTA
BRZE
VERX
SPSC
CENX
FIZZ
JOYY
NMRK
FHB
NAMSW
PLUG
ASO
MGEE
EEFT
CGON
SBCF
NCNO
PTRN
PLBL
QFIN
APPN
CSQ
CNTA
WSFS
ARQT
WSBC
XENE
MENS
RARE
ATEC
MCHB
IRON
VC
KNSA
TARS
MEOH
TVTX
FLY
PRVA
TBBK
GRAL
HURN
AUGO
COLM
NSIT
ETOR
NMIH
POWWP
KYIV
IPAR
HSAI
SRRK
SHOO
AAPG
SGRY
LIVN
BLKB
RNW
FOLD
MBLY
FTAIM
HTFL
FRPT
ACLS
NMFCZ
WDFC
HWKN
RELY
IDYA
BATRA
CDTX
CPRX
OXLC
DYN
VRDN
FTAIN
HCM
VNET
SFNC
SUPN
CVBF
MGRC
IAC
GSHD
SLNO
RUM
AVPT
WB
SYNA
CHEF
MLYS
SOUNW
GENVR
ALRM
TOWN
NNNN
XNET
LFST
WSBCO
APLS
BATRK
SPNS
ZLAB
RXRX
COCO
WSBCP
PPTA
DXCM
WAFD
SEDG
AGIO
MFICL
FFBC
CAKE
MRX
PAX
EXTR
TMC
PINC
FA
OCUL
PTEN
TRMK
BUSEP
UPWK
DRVN
ADAMI
WRD
GCMG
LQDA
ADAMM
PLUS
ADPT
FORTY
BEAM
CSGS
OSW
XRAY
TRMD
DNLI
HUBG
NBTB
ODD
MGNI
GT
CNXC
WBTN
SBLK
PENN
FBNC
IBRX
ADUS
SLDE
FRME
GLPG
BANR
INOD
COGT
ENVX
NTCT
IQ
DIOD
QUBT
HTZ
UMBFO
BUSE
BELFB
ALKT
MQ
BITF
HWCPZ
SBET
SEZL
ADAML
KLIC
SMPL
ACMR
PGY
CENT
SYBT
ADAMN
SONO
LMAT
VCEL
ANIP
POWI
EFSC
PNFPP
EOSEW
PRDO
AUPH
PGNY
SKWD
GEMI
TIGR
PAYO
EYE
CSIQ
CECO
OZKAP
TXG
PCT
JSM
IOSP
GPCR
ABLLL
ESTA
MESO
VECO
AVAH
TWST
AVDL
ROCK
STRA
PRGS
HRMY
EWTX
ACHC
TRINI
TRIP
LZ
TRINZ
CENTA
PRCT
AAOI
PAHC
NEGG
IRDM
WTFCN
AMSC
FBYD
GIGGU
SYRE
UFPT
CHCO
BELFA
CHA
MNKD
HLMN
ALVO
SRPT
IAS
BPOPM
LUNR
NWBI
JAMF
WEN
HTO
ANDE
LASR
ADAMZ
EXPI
EVCM
USAR
MCRI
NVTS
GRABW
MCW
CLMT
NN
ATRO
TRUP
DJTWW
BULLW
FLYW
METC
NNE
TERN
IMCR
JBLU
CDZIP
CCB
PLTK
MVST
OMCL
CLBK
UNIT
BLBD
ATRC
JJSF
PSNY
LILAK
JANX
DXPE
PWP
ALM
LILA
CMPOW
NEXT
WERN
CASH
INVA
DNTH
VITL
SION
VERA
OUST
FIVN
KALU
QURE
CLDX
SHLS
ADEA
FRMEP
PSIX
CMPR
ICFI
ARCB
OXSQG
TILE
NSSC
WINA
BCRX
SUPX
GABC
NYAX
NVA
SRCE
LKFN
STBA
CNXN
TCBK
MBIN
ASTH
TWFG
HIMX
ZBIO
IMSR
IMKTA
CERT
NEOG
ARHS
QDEL
TLRY
CLOV
ARDX
KMTS
AZTA
PZZA
TRVI
HOPE
KARO
ZD
WLDN
COLL
NWL
IMNM
AMPL
STAA
SSII
PFBC
DGII
PRCH
SLDP
VMEO
SDGR
WAFDP
SNDX
STOK
ARRY
NEO
ALGT
CGBDL
QCRH
MXL
AHCO
RBCAA
PLAB
ONDS
AFYA
DVAX
PSEC
TRS
REAL
HROW
MAZE
WVE
GCT
STGW
OPRA
EVLV
BLFS
UPB
ZYME
HBNB
ROOT
VRNT
CNOB
NVCR
WABC
HSII
BFC
HCSG
CCEC
CNOBP
DSGR
NVAX
OCSL
MAAS
XERS
ORIC
CSWC
GO
EH
NESR
DCOM
CRAI
UCTT
PHVS
TASK
OMDA
INBX
CVAC
IPX
GIII
PGEN
BBNX
CCOI
BRCB
CRML
ABCL
SBGI
NAVI
PENG
JCAP
LFMDP
CRTO
HLIT
MFIC
MBINM
HTZWW
COHU
AMPH
HIVE
SAFT
HDL
TRIN
THRM
MDXG
IMTX
LOT
TNDM
ANAB
AMLX
TBLA
DMLP
WYFI
AXGN
MOMO
DHC
ARBKL
GOODN
LGIH
EZPW
MGIC
URGN
IRMD
MBINL
NKTR
TNGX
SIGIP
GDRX
PHAR
ECPG
BLDP
EVGO
FWRG
TSHA
PLSE
XPEL
PDFS
ELVN
RLAY
ASST
FTRE
ORKA
METCB
NRDS
PEBO
UPBD
ASTE
OPK
PLPC
DCOMG
BHFAL
OCFC
GOGO
NTLA
INDI
CRCT
BTBT
INMD
DAWN
BHFAO
XNCR
NMFC
WOOF
PCRX
TDUP
RDWR
IGIC
YB
MSEX
GAINL
MLKN
RZLT
SANA
BHFAP
OSBC
CSTL
GOODO
TCBIO
CTBI
GAINN
GLIBK
GLIBA
CRON
IIIV
NRIX
TSAT
BGM
PHAT
NBTX
IART
RAPP
ATAI
RZLV
KOD
RPD
LANDM
RCAT
RWAYZ
MBINN
FOSLL
BTQ
RWAYL
GAINZ
EVER
DAKT
LMB
FSUN
BHRB
UFCS
ULCC
CCLDO
FORD
SCSC
ALNT
MNMD
FMBH
PNTG
IMPPP
BETR
SPRY
CGBD
AVO
BANFP
SKYT
AHG
ABUS
PVLA
MBX
KURA
BBSI
AEBI
PROK
HNRG
UVSP
OCS
ODP
GHRS
AMAL
SLRC
GLDD
NTGR
IOVA
DCOMP
ESQ
ASPI
SEPN
CFFN
WLFC
ATLC
HCMA
RDVT
AMWD
FLGT
EMBC
MRTN
ACDC
ECX
MOFG
CDNA
CRMD
HAFC
BCAX
BHFAN
SWIM
OWLS
QNST
IMOS
JBSS
SIFY
REAX
CTLP
EYPT
KYIVW
AMSF
GDEN
TYRA
ITRN
GLUE
SENEB
VINP
HBT
UDMY
BRBI
CMPX
RUMBW
EFSCP
HFWA
GDYN
TBPH
HEPS
SABR
CCNEP
APOG
ERII
BJRI
LANDO
NBBK
TRST
AQST
SENEA
RILYK
AEVA
FSBC
AEHR
OLPX
MBWM
GSM
MRVI
HPK
AVBP
HSTM
BFST
CCNE
LANDP
GRPN
LX
WRLD
LENZ
INNV
ORGO
VIR
DNUT
TREE
VALN
MATW
LQDT
GEGGL
GILT
CBRL
MFH
GPRE
ATXS
HBNC
DGICA
BHFAM
CRESY
FDUS
CRSR
SCHL
IHRT
GYRE
NBN
TIPT
FOXF
CCBG
MLTX
SVRA
ARVN
GERN
SSYS
MGTX
SIBN
AUROW
LWLG
DCBO
LIND
APPS
FGNXP
MCBS
NEWTI
THFF
MPB
NEWTG
KE
SNCY
ORRF
CAC
FWRD
AIOT
REPL
HTBK
TBLD
GSBC
NEWTZ
MPLT
ERAS
LAES
SERV
TH
RIGL
ADTN
NUTX
IBCP
AIP
POM
YDES
ADAM
NEWTP
AVXL
VTYX
CEVA
ABL
AMRK
NNAVW
HYMC
HIFS
BVS
PSNL
BCAL
UXIN
AOSL
CGNT
SMBC
FCBC
KRNT
SHEN
SPFI
LXEO
CTMX
ALTI
SSSSL
LYTS
OFIX
RILYN
SGML
ACIC
WHFCL
FIP
CTKB
HTLD
FISI
NKLR
SPT
MYGN
KRUS
USARW
PRAA
OLMA
CRESW
TALK
TRON
PRTA
BLMN
CRVS
NWPX
RGNX
SFIX
LINC
ADSE
DGICB
APEI
BWMN
RR
RBBN
TCMD
DJCO
CRMLW
GAIN
CWCO
RILYG
BWBBP
GOSS
NAGE
KALV
DEFT
DSP
AKBA
MGPI
WASH
VSTM
ESPR
SHBI
ALRS
LEGH
GOOD
GEVO
PACB
MNRO
CLNE
ITIC
CMPS
ABAT
DOMO
FUFU
MSBIP
CCAP
CASS
TRNS
FFIC
NHPAP
ICHR
PRME
CLMB
NHPBP
PSNYW
MBUU
NRIM
HCKT
NEXN
CAN
UROY
MNPR
ABSI
VREX
ZVRA
ANGO
AROW
FMNB
EU
KROS
LE
ACNB
ALMS
IBEX
FDMT
LZMH
RMR
POET
ANGI
GBFH
LTBR
PLAY
TCPC
RSVR
KDK
VLGEA
JFIN
ARKO
NB
RAPT
SCVL
DBVT
NAKA
STKL
SIGA
UNTY
OSPN
CCSI
PFIS
TLS
CBNK
CNCK
YORW
KOPN
BWB
SNDL
OTLY
LXRX
PGC
ETON
KRT
SY
CMCO
CLPT
IMXI
OMER
SOHU
HELE
BCYC
FRPH
CBLL
NATH
BMBL
RRBI
GLRE
COFS
CLFD
MAMA
NPCE
CEP
AXTI
BAND
LAB
DDI
DSGN
FBIZ
GLAD
KIDS
TATT
BMRC
EOLS
OCGN
CGEM
ARQQ
PRTC
CIVB
NFBK
HBCP
TSSI
CYRX
BYRN
MLAB
MITK
DRUG
NMRA
KRNY
FULC
GBLI
CWBC
GRVY
SMLR
TMCWW
THH
ESEA
CCRN
ASTL
VFSWW
JOUT
PERI
CRNC
CDZI
XOMA
BSRR
VSTA
ULH
FRBA
BSVN
KELYB
CVGW
PRTH
GDEV
EGAN
ATLCZ
RXST
CARE
XRX
ZEUS
ADUR
IVA
SRDX
KMDA
SWBI
GCBC
AIRS
SFST
NGNE
NFE
RILYT
PANL
VBNK
MCTA
ATLCL
CMRC
ZUMZ
PTLO
LWAY
TACO
TITN
AIRO
ADV
WTBA
NCMI
PHOE
ILPT
WEST
ATLCP
CARL
ALT
OPAL
PDLB
SRTA
TECX
PCTTW
SOHOO
USCB
RWAY
RMNI
ALLT
DHIL
VALU
AUTL
OBT
MTRX
LAND
SOHOB
LSAK
WAVE
CHSCP
MSBI
EM
SLP
BWFG
LPTH
ACTG
ARTNA
RCKT
MTLS
TTGT
KELYA
QSI
AREC
NRC
PUBM
ATEX
BZAI
PBFS
CUB
MVBF
FMAO
LYEL
MPAA
SVC
BNTC
AENT
VFF
GEOS
GALT
AURA
INVZ
SLNHP
TOI
ACIU
QSG
NNDM
ANPA
RBB
MCFT
CERS
BLZE
SBC
RPAY
AMRN
CHSCO
API
AMCX
NBP
XFOR
WW
SLDPW
MVIS
JACK
CTRN
TOYO
SOHON
XOMAP
CTNM
CBK
KRRO
ANNX
SLDB
BBCP
NATR
VERI
DENN
NVEC
JMSB
CHSCL
LOCO
RZLVW
IRWD
NIU
FSBW
OFSSH
CGC
RILYZ
BGIN
PCB
SWKHL
FEIM
ENGN
CHSCN
LBRX
SLN
WEYS
CHSCM
XOMAO
DMAC
DCTH
DH
SGHT
WILC
PBYI
HTLM
